mean_Length_of_IP_packets,std_Length_of_IP_packets,max_Length_of_IP_packets,min_Length_of_IP_packets,mean_Length_of_TCP_payload,std_Length_of_TCP_payload,max_Length_of_TCP_payload,min_Length_of_TCP_payload,Length_of_TCP_payload,mean_Time_difference_between_packets_per_session,std_Time_difference_between_packets_per_session,max_Time_difference_between_packets_per_session,min_Time_difference_between_packets_per_session,mean_Interval_of_arrival_time_of_forward_traffic,std_Interval_of_arrival_time_of_forward_traffic,max_Interval_of_arrival_time_of_forward_traffic,min_Interval_of_arrival_time_of_forward_traffic,mean_Interval_of_arrival_time_of_backward_traffic,std_Interval_of_arrival_time_of_backward_traffic,max_Interval_of_arrival_time_of_backward_traffic,min_Interval_of_arrival_time_of_backward_traffic,median_Time_difference_between_packets_per_session,mean_time_to_live,std_time_to_live,max_time_to_live,min_time_to_live,mean_TCP_windows_size_value,std_TCP_windows_size_value,max_TCP_windows_size_value,min_TCP_windows_size_value,median_TCP_windows_size_value,The_times_of_change_of_payload_per_session,Change_values_of_TCP_windows_length_per_session,src_ip,dst_ip,src_port,dst_port,protocol,bidirectional_duration_ms,bidirectional_packets,application_name,application_category_name,requested_server_name,flow_id,sent_ts
86.0,15.716233645501712,97,68,80.5,17.67766952966369,93,68,161,40.0,56.568542494923804,80,0,80.0,0.0,80,80,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,208.103.161.1,10.8.1.3,443,35838,6,80,3,TLS,Web,,208.103.161.1:443-10.8.1.3:35838-6-1776443767133,1776443783093
68.0,0.0,68,68,68.0,0.0,68,68,68,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,170.114.52.5,10.8.1.3,443,51884,6,0,2,TLS,Web,,170.114.52.5:443-10.8.1.3:51884-6-1776443768222,1776443784116
68.0,0.0,68,68,68.0,0.0,68,68,68,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,170.114.52.5,10.8.1.3,443,45534,6,0,2,TLS,Web,,170.114.52.5:443-10.8.1.3:45534-6-1776443768353,1776443784122
85.33333333333333,15.143755588800728,96,68,80.0,16.97056274847714,92,68,160,36.5,51.61879502661797,73,0,73.0,0.0,73,73,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,104.18.39.21,10.8.1.3,443,52160,6,73,3,TLS,Web,,104.18.39.21:443-10.8.1.3:52160-6-1776443766923,1776443787190
86.0,15.716233645501712,97,68,80.5,17.67766952966369,93,68,161,36.0,50.91168824543142,72,0,72.0,0.0,72,72,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,208.103.161.1,10.8.1.3,443,35836,6,72,3,TLS,Web,,208.103.161.1:443-10.8.1.3:35836-6-1776443769821,1776443791285
86.0,15.716233645501712,97,68,80.5,17.67766952966369,93,68,161,36.5,51.61879502661797,73,0,73.0,0.0,73,73,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,208.103.161.1,10.8.1.3,443,35828,6,73,3,TLS,Web,,208.103.161.1:443-10.8.1.3:35828-6-1776443768411,1776443791289
68.0,0.0,68,68,68.0,0.0,68,68,68,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,170.114.52.5,10.8.1.3,443,51884,6,0,2,TLS,Web,,170.114.52.5:443-10.8.1.3:51884-6-1776443783584,1776443799476
68.0,0.0,68,68,68.0,0.0,68,68,68,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,170.114.52.5,10.8.1.3,443,45534,6,0,2,TLS,Web,,170.114.52.5:443-10.8.1.3:45534-6-1776443783713,1776443799480
139.25,99.0265116016918,278,68,173.0,148.49242404917499,278,68,346,90.0,145.61593319413916,258,0,270.0,0.0,270,270,12.0,0.0,12,12,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,10.8.1.3,134.224.4.147,55070,443,6,270,4,TLS,Web,,10.8.1.3:55070-134.224.4.147:443-6-1776443783798,1776443802548
85.33333333333333,15.143755588800728,96,68,80.0,16.97056274847714,92,68,160,36.0,50.91168824543142,72,0,72.0,0.0,72,72,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,104.18.39.21,10.8.1.3,443,54740,6,72,3,TLS,Web,,104.18.39.21:443-10.8.1.3:54740-6-1776443781858,1776443802552
95.66666666666667,25.11307760244982,126,68,87.75,25.695330315059195,122,68,351,2033.0,4465.572863586485,10021,0,3388.333333333333,5744.057828167586,10021,72,10093.0,0.0,10093,10093,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,208.103.161.2,10.8.1.3,443,36020,6,10165,6,TLS,Web,,208.103.161.2:443-10.8.1.3:36020-6-1776443780400,1776443806644
85.33333333333333,15.143755588800728,96,68,80.0,16.97056274847714,92,68,160,41.0,56.568542494923804,81,1,82.0,0.0,82,82,0.0,0.0,0,0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,104.18.39.21,10.8.1.3,443,50922,6,82,3,TLS,Web,,104.18.39.21:443-10.8.1.3:50922-6-1776443786571,1776443806648
85.33333333333333,15.143755588800728,96,68,80.0,16.97056274847714,92,68,160,42.5,60.10407640085654,85,0,85.0,0.0,85,85,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,104.18.39.21,10.8.1.3,443,52160,6,85,3,TLS,Web,,104.18.39.21:443-10.8.1.3:52160-6-1776443786923,1776443807669
95.66666666666667,25.11307760244982,126,68,87.75,25.695330315059195,122,68,351,1626.8,3556.757610521133,7989,0,2711.333333333333,4570.593433388419,7989,72,8062.0,0.0,8062,8062,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,208.103.161.2,10.8.1.3,443,36026,6,8134,6,TLS,Web,,208.103.161.2:443-10.8.1.3:36026-6-1776443782430,1776443808692
520.8636363636364,540.8497983072604,1294,66,519.8,573.859603426173,1294,75,5198,12.238095238095237,20.25562825958445,73,0,22.666666666666668,35.0,106,0,16.727272727272727,25.787946444379433,79,0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0,10.8.1.3,172.217.20.67,60131,443,17,257,22,QUIC.Google,Web,ssl.gstatic.com,10.8.1.3:60131-172.217.20.67:443-17-1776443787009,1776443808696
95.66666666666667,25.11307760244982,126,68,87.75,25.695330315059195,122,68,351,397.6,807.151968343013,1840,0,662.6666666666667,1019.601065776872,1840,73,1914.0,0.0,1914,1914,73.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,208.103.161.1,10.8.1.3,443,35838,6,1988,6,TLS,Web,,208.103.161.1:443-10.8.1.3:35838-6-1776443790497,1776443808700
71.0,2.8284271247461903,73,69,73.0,0.0,73,73,73,80.0,0.0,80,80,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,10.8.1.3,142.251.155.119,43229,443,17,80,2,QUIC,Web,,10.8.1.3:43229-142.251.155.119:443-17-1776443785146,1776443812788
