true_label,class,attack_type,source,flow_id,mean_Length_of_IP_packets,std_Length_of_IP_packets,max_Length_of_IP_packets,min_Length_of_IP_packets,mean_Length_of_TCP_payload,std_Length_of_TCP_payload,max_Length_of_TCP_payload,min_Length_of_TCP_payload,Length_of_TCP_payload,mean_Time_difference_between_packets_per_session,std_Time_difference_between_packets_per_session,max_Time_difference_between_packets_per_session,min_Time_difference_between_packets_per_session,mean_Interval_of_arrival_time_of_forward_traffic,std_Interval_of_arrival_time_of_forward_traffic,max_Interval_of_arrival_time_of_forward_traffic,min_Interval_of_arrival_time_of_forward_traffic,mean_Interval_of_arrival_time_of_backward_traffic,std_Interval_of_arrival_time_of_backward_traffic,max_Interval_of_arrival_time_of_backward_traffic,min_Interval_of_arrival_time_of_backward_traffic,median_Time_difference_between_packets_per_session,mean_time_to_live,std_time_to_live,max_time_to_live,min_time_to_live,mean_TCP_windows_size_value,std_TCP_windows_size_value,max_TCP_windows_size_value,min_TCP_windows_size_value,median_TCP_windows_size_value,The_times_of_change_of_payload_per_session,Change_values_of_TCP_windows_length_per_session,src_ip,dst_ip,src_port,dst_port,protocol,bidirectional_packets,requested_server_name,client_fingerprint,server_fingerprint
0,c2_beaconing,mta_qakbot,Qakbot_2022-11-14_1.pcap,172.16.24.174:52343-23.204.183.218:443-6-1668466169612,1099.1849315068491,632.3507211429393,1514,54,102.70000000000003,212.1439247953761,1208,54,3081,757.296551724138,9089.29303197826,109452,0,3786.4827586206898,20322.37241778607,109452,0,954.7043478260869,10206.179227340413,109452,0,3.0,0.0,0.0,0.0,0.0,772.9757203589985,644.1966467669426,1514.0,54.0,1099.1849315068491,72,74,172.16.24.174,23.204.183.218,52343,443,6,146,www.irs.gov,t12d190700_d83cc789557e_2dae41c691ec,4b7d5f58af981be54baeda917533e5d8
1,c2_beaconing,mta_gozi,Gozi_2023-07-12.pcap,10.7.12.121:50247-170.130.55.162:443-6-1689203926504,347.79166666666663,530.5418869802645,1514,54,144.18181818181816,192.9812520333611,636,54,1586,471.91304347826076,2174.129813658861,10441,0,1085.4,3288.5610226967055,10441,0,901.8333333333334,3005.3281422207865,10441,0,27.0,0.0,0.0,0.0,0.0,537.5611564361565,558.6805362074457,1514.0,54.0,347.79166666666663,16,18,10.7.12.121,170.130.55.162,50247,443,6,24,iamupdate.com,t12d190700_d83cc789557e_2dae41c691ec,4ce0442e9d20d092d9d74e9ce54b363a
0,exfil,mta_astaroth,Astaroth_2023-01-04_0.pcap,10.1.4.101:49672-52.226.139.185:443-6-1672824262183,122.0,83.55836283700154,225,54,104.5,71.4177848998413,155,54,209,35.666666666666664,32.036437588054845,62,0,107.0,0.0,107,107,62.0,0.0,62,62,53.5,0.0,0.0,0.0,0.0,125.88888888888889,63.818657049912304,225.0,54.0,122.0,3,3,10.1.4.101,52.226.139.185,49672,443,6,4,,,
0,benign,benign,ctu_normal21_kali_2017.pcap,192.168.1.191:46792-52.94.216.48:443-6-1493727083940,93.78125,103.14997986802611,523,54,104.49999999999999,126.7412061380723,523,54,1672,2155.290322580645,3960.923404069211,10030,0,4451.4,5006.878266088419,10784,0,4450.6,5015.9328259343465,10760,0,112.5,0.0,0.0,0.0,0.0,201.70486111111111,189.3065981109712,523.0,54.0,93.78125,12,14,192.168.1.191,52.94.216.48,46792,443,6,32,aax-eu.amazon-adsystem.com,t12d1109h2_43e74fd21232_fed6c16fddd0,30553045c697c20ead22a41ae6655ff1
1,c2_beaconing,mta_pikabot,Pikabot_2023-11-02.pcap,10.11.2.101:53045-154.92.19.139:2222-6-1698964929026,166.9722222222222,283.8788963233755,1430,60,120.89473684210527,169.70002774073043,748,60,2297,3631.285714285714,6720.472443001523,30413,0,7060.833333333333,8048.8678579113,30413,0,6816.0,7915.937569233351,30414,0,2561.0,0.0,0.0,0.0,0.0,477.1486163666246,547.8535326778667,1430.0,60.0,166.9722222222222,30,32,10.11.2.101,154.92.19.139,53045,2222,6,36,,t12i190700_d83cc789557e_7af1ed941c26,ec74a5c51106f0419184d0dd08fb05bc
1,c2_beaconing,mta_qakbot,Qakbot_2022-09-29.pcap,10.9.29.201:50395-193.3.19.137:443-6-1664433387876,171.33333333333331,225.75281467422136,786,54,156.0,219.9028711210309,689,54,1872,5361.099999999999,17842.2336042737,75002,0,9747.454545454546,23618.447177423146,75002,0,13383.75,27230.93661759412,75004,1,2.0,0.0,0.0,0.0,0.0,326.9012345679012,306.91132861722855,786.0,54.0,171.33333333333331,14,16,10.9.29.201,193.3.19.137,50395,443,6,21,,t13i201000_2b729b4bf6f3_533b6d20482b,2253c82f03b621c5144709b393fde2c9
0,exfil,mta_stealc,StealC_2025-06-18.pcap,172.16.1.128:57387-52.140.118.28:443-6-1750264230586,277.23999999999995,431.5827730574982,1514,54,172.1818181818182,234.93863802355636,845,54,1894,130.25000000000003,279.19328663910926,1226,0,312.6,374.8378019594312,1228,0,213.53846153846158,354.80783892707694,1226,0,175.5,0.0,0.0,0.0,0.0,538.2452813852814,571.1341066407348,1514.0,54.0,277.23999999999995,18,20,172.16.1.128,52.140.118.28,57387,443,6,25,settings-win.data.microsoft.com,t12d1809h2_4b22cbed5bed_7af1ed941c26,2fe9b0e731d3d41b2b84e8e1d6186836
1,c2_beaconing,mta_icedid,IcedID_2023-05-10.pcap,172.16.10.73:50588-81.224.201.143:2222-6-1683743583656,187.60869565217394,304.2683831946029,1295,54,155.84615384615387,233.9165970147787,784,54,2026,1761.5000000000002,6626.724377563208,30651,0,3229.4166666666665,8869.237842200147,30651,0,4287.0,10155.210657588546,30651,1,2.0,0.0,0.0,0.0,0.0,456.48387216648086,495.97676092736583,1295.0,54.0,187.60869565217394,14,16,172.16.10.73,81.224.201.143,50588,2222,6,23,,t13i201100_2b729b4bf6f3_2e4f304f1f45,2253c82f03b621c5144709b393fde2c9
0,c2_beaconing,mta_gozi,Gozi_2023-07-12.pcap,10.7.12.121:49850-20.189.173.7:443-6-1689201848288,465.4838709677419,575.7105100637381,1514,54,616.6153846153846,595.9068073758875,1514,54,8016,22.933333333333334,53.28513626825437,207,0,57.33333333333334,74.92703521467139,211,0,36.0,66.29008221446101,207,0,60.0,0.0,0.0,0.0,0.0,682.4925098796067,616.1741255291083,1514.0,54.0,465.4838709677419,20,22,10.7.12.121,20.189.173.7,49850,443,6,31,v10.events.data.microsoft.com,t12d1909h2_d83cc789557e_7af1ed941c26,678aeaf909676262acfb913ccb78a126
0,benign,benign,ctu_normal20_win_2017_https.pcap,10.0.2.15:49709-31.13.93.7:443-6-2618609,228.15384615384616,393.5176430410908,1474,54,102.5,71.81478703138815,251,54,1230,2693.480000000001,13006.348591232923,65120,0,6121.454545454546,19574.59566562557,65139,4,5176.923076923076,18012.270074690467,65120,0,21.0,0.0,0.0,0.0,0.0,447.501221001221,556.7909404938969,1474.0,54.0,228.15384615384616,19,21,10.0.2.15,31.13.93.7,49709,443,6,26,connect.facebook.net,t12d1509h2_073e58a039a6_e70312a1ce2c,2d1eb5817ece335c24904f516ad5da12
