StartTime,Dur,Proto,SrcAddr,Sport,DstAddr,Dport,SrcPkts,DstPkts,SrcBytes,DstBytes,sTtl,dTtl,SIntPkt,DIntPkt,SrcJitter,DstJitter,SrcWin,DstWin,Load,Loss
00:00:07.707902,1494.100586,ipv6-icmp,::,135,::,0,53,0,4510,0,0,,,,,,,,23.693184,0
00:00:07.708119,2106.614990,ipv6-icmp,::,133,::,0,12,0,1992,0,0,,,,,,,,6.934347,0
00:00:07.708201,2151.993652,ipv6-icmp,::,130,::,0,219,0,18834,0,0,,,,,,,,69.695374,0
00:01:07.590851,1857.466797,udp,0.0.0.0,68,255.255.255.255,67,6,0,2052,0,255,,,,,,,,7.364869,0
00:31:30.191723,0.000000,udp,192.168.1.2,5353,224.0.0.251,5353,1,0,87,0,255,,,,,,,,0.000000,0
00:06:51.805914,1086.795166,udp,192.168.1.112,137,192.168.1.255,137,54,0,4968,0,128,,,,,,,,35.892689,0
00:06:56.691492,0.099585,udp,192.168.1.112,49432,224.0.0.252,5355,2,0,128,0,1,,,,,,,,5141.336914,0
00:06:54.086472,0.099810,udp,192.168.1.112,50806,224.0.0.252,5355,2,0,134,0,1,,,,,,,,5370.203613,0
00:06:51.495344,0.100557,udp,192.168.1.112,52010,224.0.0.252,5355,2,0,128,0,1,,,,,,,,5091.639648,0
00:07:21.042330,0.100578,udp,192.168.1.112,53273,224.0.0.252,5355,2,0,128,0,1,,,,,,,,5090.576172,0
00:07:26.208443,0.099798,udp,192.168.1.112,53894,224.0.0.252,5355,2,0,128,0,1,,,,,,,,5130.363281,0
00:18:56.775409,0.101086,udp,192.168.1.112,55043,224.0.0.252,5355,2,0,128,0,1,,,,,,,,5064.994141,0
00:24:56.799788,0.100088,udp,192.168.1.112,55122,224.0.0.252,5355,2,0,128,0,1,,,,,,,,5115.498535,0
00:07:15.101811,0.100620,udp,192.168.1.112,56263,224.0.0.252,5355,2,0,128,0,1,,,,,,,,5088.451660,0
00:21:56.783303,0.100900,udp,192.168.1.112,56396,224.0.0.252,5355,2,0,128,0,1,,,,,,,,5074.331055,0
00:18:56.899312,0.100212,udp,192.168.1.112,58633,224.0.0.252,5355,2,0,128,0,1,,,,,,,,5109.168457,0
