,id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
0,0,0,::,08:00:27:bd:f2:09,08:00:27,0,ff02::1:ff00:7a6,33:33:ff:00:07:a6,33:33:ff,0,58,6,0,0,7708,9701,1993,2,156,7708,9701,1993,2,156,0,0,0,0,0,78,78.0,0.0,78,78,78.0,0.0,78,0,0.0,0.0,0,1993,1993.0,0.0,1993,1993,1993.0,0.0,1993,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
1,1,0,fe80::3415:2c17:d667:c2c1,08:00:27:bd:f2:09,08:00:27,0,ff02::2,33:33:00:00:00:02,33:33:00,0,58,6,0,0,7708,16831,9123,14,1156,7708,16831,9123,14,1156,0,0,0,0,0,70,82.57142857142857,6.813045018021123,86,70,82.57142857142857,6.813045018021123,86,0,0.0,0.0,0,19,701.7692307692307,1021.8684809248656,3996,19,701.7692307692307,1021.8684809248656,3996,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
2,2,0,fe80::3415:2c17:d667:c2c1,08:00:27:bd:f2:09,08:00:27,0,ff02::1:ff00:7a6,33:33:ff:00:07:a6,33:33:ff,0,58,6,0,0,7708,22208,14500,5,430,7708,22208,14500,5,430,0,0,0,0,0,86,86.0,0.0,86,86,86.0,0.0,86,0,0.0,0.0,0,288,3625.0,5934.293499089284,12507,288,3625.0,5934.293499089284,12507,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
3,3,0,fe80::da58:d7ff:fe00:f72,d8:58:d7:00:0f:72,d8:58:d7,0,fe80::3415:2c17:d667:c2c1,08:00:27:bd:f2:09,08:00:27,0,58,6,0,0,7709,17702,9993,7,930,7709,17702,9993,5,758,12710,17702,4992,2,172,78,132.85714285714286,61.001170948948655,198,78,151.6,63.59874212592573,198,86,86.0,0.0,86,0,1665.5,1630.017269847163,3996,1005,2498.25,1286.223250450714,3996,4992,4992.0,0.0,4992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
4,4,0,fe80::3415:2c17:d667:c2c1,08:00:27:bd:f2:09,08:00:27,546,ff02::1:2,33:33:00:01:00:02,33:33:00,547,17,6,0,0,8349,9410,1061,3,498,8349,9410,1061,3,498,0,0,0,0,0,147,166.0,21.283796653792763,189,147,166.0,21.283796653792763,189,0,0.0,0.0,0,60,530.5,665.3874810965413,1001,60,530.5,665.3874810965413,1001,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DHCPV6,Network,0,6,,,,,
5,5,0,192.168.1.135,08:00:27:bd:f2:09,08:00:27,0,224.0.0.252,01:00:5e:00:00:fc,01:00:5e,0,2,4,0,0,8361,48707,40346,20,920,8361,48707,40346,20,920,0,0,0,0,0,46,46.0,0.0,46,46,46.0,0.0,46,0,0.0,0.0,0,7,2123.4736842105267,7212.333490228319,31506,7,2123.4736842105267,7212.333490228319,31506,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IGMP,Network,0,6,,,,,
6,6,0,192.168.1.135,08:00:27:bd:f2:09,08:00:27,51325,52.169.120.89,1c:6f:65:c0:43:92,1c:6f:65,53,17,4,0,0,8533,8606,73,2,370,8533,8533,0,1,77,8606,8606,0,1,293,77,185.0,152.73506473629428,293,77,77.0,0.0,77,293,293.0,0.0,293,73,73.0,0.0,73,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNS,Network,0,6,ipv6.msftncsi.com,,,,
7,7,0,192.168.1.135,08:00:27:bd:f2:09,08:00:27,63130,52.169.120.89,1c:6f:65:c0:43:92,1c:6f:65,53,17,4,0,0,8606,8652,46,2,377,8606,8606,0,1,77,8652,8652,0,1,300,77,188.5,157.6848122046001,300,77,77.0,0.0,77,300,300.0,0.0,300,46,46.0,0.0,46,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNS,Network,0,6,ipv6.msftncsi.com,,,,
8,8,0,192.168.1.135,08:00:27:bd:f2:09,08:00:27,0,224.0.0.2,01:00:5e:00:00:02,01:00:5e,0,2,4,0,0,8701,16832,8131,10,460,8701,16832,8131,10,460,0,0,0,0,0,46,46.0,0.0,46,46,46.0,0.0,46,0,0.0,0.0,0,18,903.4444444444443,1834.8217972810817,5785,18,903.4444444444443,1834.8217972810817,5785,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IGMP,Network,0,6,,,,,
9,9,0,fe80::3415:2c17:d667:c2c1,08:00:27:bd:f2:09,08:00:27,57399,ff02::1:3,33:33:00:01:00:03,33:33:00,5355,17,6,0,0,9004,9100,96,2,170,9004,9100,96,2,170,0,0,0,0,0,85,85.0,0.0,85,85,85.0,0.0,85,0,0.0,0.0,0,96,96.0,0.0,96,96,96.0,0.0,96,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LLMNR,Network,0,6,win24,,,,
10,10,0,192.168.1.135,08:00:27:bd:f2:09,08:00:27,60948,224.0.0.252,01:00:5e:00:00:fc,01:00:5e,5355,17,4,0,0,9004,9100,96,2,130,9004,9100,96,2,130,0,0,0,0,0,65,65.0,0.0,65,65,65.0,0.0,65,0,0.0,0.0,0,96,96.0,0.0,96,96,96.0,0.0,96,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LLMNR,Network,0,6,win24,,,,
11,11,0,192.168.1.135,08:00:27:bd:f2:09,08:00:27,64988,239.255.255.250,01:00:5e:7f:ff:fa,01:00:5e,3702,17,4,0,0,9412,17051,7639,11,11352,9412,17051,7639,11,11352,0,0,0,0,0,1032,1032.0,0.0,1032,1032,1032.0,0.0,1032,0,0.0,0.0,0,1,763.9,1386.8452969880157,3690,1,763.9,1386.8452969880157,3690,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WSD,Network,0,6,,,,,
