mean_Length_of_IP_packets,std_Length_of_IP_packets,max_Length_of_IP_packets,min_Length_of_IP_packets,mean_Length_of_TCP_payload,std_Length_of_TCP_payload,max_Length_of_TCP_payload,min_Length_of_TCP_payload,Length_of_TCP_payload,mean_Time_difference_between_packets_per_session,std_Time_difference_between_packets_per_session,max_Time_difference_between_packets_per_session,min_Time_difference_between_packets_per_session,mean_Interval_of_arrival_time_of_forward_traffic,std_Interval_of_arrival_time_of_forward_traffic,max_Interval_of_arrival_time_of_forward_traffic,min_Interval_of_arrival_time_of_forward_traffic,mean_Interval_of_arrival_time_of_backward_traffic,std_Interval_of_arrival_time_of_backward_traffic,max_Interval_of_arrival_time_of_backward_traffic,min_Interval_of_arrival_time_of_backward_traffic,median_Time_difference_between_packets_per_session,mean_time_to_live,std_time_to_live,max_time_to_live,min_time_to_live,mean_TCP_windows_size_value,std_TCP_windows_size_value,max_TCP_windows_size_value,min_TCP_windows_size_value,median_TCP_windows_size_value,The_times_of_change_of_payload_per_session,Change_values_of_TCP_windows_length_per_session,src_ip,dst_ip,src_port,dst_port,protocol,bidirectional_duration_ms,bidirectional_packets,application_name,application_category_name,requested_server_name,flow_id,sent_ts
367.59375000000006,593.5091846111077,2580,68,358.8,525.4326380639645,1516,68,5382,2.67741935483871,9.24260820610789,41,0,5.928571428571429,13.66333828853012,41,0,2.5,8.164965809277259,33,0,2,0.0,0.0,0.0,0.0,647.6,625.4225664833871,1516.0,68.0,358.8,26,27,172.31.83.119,100.54.85.240,33198,443,6,83,32,TLS.AmazonAWS,Cloud,ssm.us-east-1.amazonaws.com,172.31.83.119:33198-100.54.85.240:443-6-1778929581864,1778929612598
72.8,10.73312629199899,92,68,76.0,13.856406460551018,92,68,228,0.25,0.5,1,0,0.5,0.7071067811865476,1,0,0.0,0.0,0,0,889464797559.0,0.0,0.0,0.0,0.0,78.66666666666667,9.977753031397176,92.0,68.0,76.0,1,1,172.31.83.119,52.71.87.162,49964,443,6,1,5,TLS,Web,,172.31.83.119:49964-52.71.87.162:443-6-1778929595117,1778929612608
68.0,0.0,68,68,68.0,0.0,68,68,68,2.0,0.0,2,2,0.0,0.0,0,0,0.0,0.0,0,0,889464806043.0,0.0,0.0,0.0,0.0,68.0,0.0,68.0,68.0,68,0,0,172.31.83.119,100.54.85.240,33198,443,6,2,2,TLS,Web,,172.31.83.119:33198-100.54.85.240:443-6-1778929612084,1778929642293
76.0,12.393546707863733,92,68,76.0,13.856406460551018,92,68,228,0.4,0.8944271909999159,2,0,1.0,1.4142135623730951,2,0,0.0,0.0,0,0,889464820966.5,0.0,0.0,0.0,0.0,78.66666666666667,9.977753031397176,92.0,68.0,76.0,3,3,100.54.85.240,172.31.83.119,443,33198,6,2,6,TLS,Web,,100.54.85.240:443-172.31.83.119:33198-6-1778929641931,1778929773365
66.0,14.142135623730951,76,56,76.0,0.0,76,76,76,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,76.0,76.0,76,0,1,202.61.253.53,172.31.83.119,45416,443,6,0,2,TLS,Web,,202.61.253.53:45416-172.31.83.119:443-6-1778929772596,1778930270005
59.0,4.242640687119285,62,56,62.0,0.0,62,62,62,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,62.0,62.0,62,0,1,35.203.210.231,172.31.83.119,49700,443,6,0,2,TLS,Web,,35.203.210.231:49700-172.31.83.119:443-6-1778930269420,1778930341685
59.0,4.242640687119285,62,56,62.0,0.0,62,62,62,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,62.0,62.0,62,0,0,46.151.178.13,172.31.83.119,46516,443,6,0,2,TLS,Web,,46.151.178.13:46516-172.31.83.119:443-6-1778930340700,1778930791221
66.0,14.142135623730951,76,56,76.0,0.0,76,76,76,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,76.0,76.0,76,0,1,5.189.130.33,172.31.83.119,43644,443,6,0,2,TLS,Web,,5.189.130.33:43644-172.31.83.119:443-6-1778930790697,1778930990901
60.0,3.4641016151377544,62,56,62.0,0.0,62,62,124,125.0,176.7766952966369,250,0,250.0,0.0,250,250,0.0,0.0,0,0,889465495538.0,0.0,0.0,0.0,0.0,62.0,0.0,62.0,62.0,62,0,0,139.59.59.97,172.31.83.119,49861,443,6,250,3,TLS,Web,,139.59.59.97:49861-172.31.83.119:443-6-1778930990826,1778931178293
387.5666666666667,784.9473377166813,4028,68,340.62499999999994,503.94442484596783,1516,68,5450,2.6551724137931036,9.427451792008295,40,0,5.133333333333333,12.81108151265183,40,0,2.769230769230769,9.093531090412991,33,0,1,0.0,0.0,0.0,0.0,641.5416666666666,628.272303070536,1516.0,68.0,340.62499999999994,26,27,172.31.83.119,13.220.37.186,39436,443,6,77,30,TLS.AmazonAWS,Cloud,ssm.us-east-1.amazonaws.com,172.31.83.119:39436-13.220.37.186:443-6-1778931178009,1778931209013
68.0,0.0,68,68,68.0,0.0,68,68,68,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,68.0,68.0,68,0,0,172.31.83.119,13.220.37.186,39436,443,6,0,2,TLS,Web,,172.31.83.119:39436-13.220.37.186:443-6-1778931208500,1778931238709
76.0,12.393546707863733,92,68,76.0,13.856406460551018,92,68,228,0.2,0.4472135954999579,1,0,0.5,0.7071067811865476,1,0,0.0,0.0,0,0,889465619023.5,0.0,0.0,0.0,0.0,78.66666666666667,9.977753031397176,92.0,68.0,76.0,3,3,13.220.37.186,172.31.83.119,443,39436,6,1,6,TLS,Web,,13.220.37.186:443-172.31.83.119:39436-6-1778931238046,1778932832054
349.970588235294,743.2231397584244,4028,68,324.58823529411757,492.4017743194486,1516,68,5518,2.1515151515151514,8.058850771516727,40,0,4.4375,11.535271995059327,41,0,4.374999999999999,11.33063693414158,40,0,1,0.0,0.0,0.0,0.0,636.1960784313725,630.8727214097886,1516.0,68.0,324.58823529411757,28,29,172.31.83.119,13.220.37.97,57532,443,6,71,34,TLS.AmazonAWS,Cloud,ssm.us-east-1.amazonaws.com,172.31.83.119:57532-13.220.37.97:443-6-1778932831053,1778932861749
68.0,0.0,68,68,68.0,0.0,68,68,68,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,68.0,68.0,68,0,0,172.31.83.119,13.220.37.97,57532,443,6,0,2,TLS,Web,,172.31.83.119:57532-13.220.37.97:443-6-1778932861236,1778932891445
74.85714285714286,11.710800875382398,92,68,74.0,12.0,92,68,296,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,78.0,10.198039027185569,92.0,68.0,74.0,3,3,13.220.37.97,172.31.83.119,443,57532,6,0,7,TLS,Web,,13.220.37.97:443-172.31.83.119:57532-6-1778932891144,1778933177141
59.0,4.242640687119285,62,56,62.0,0.0,62,62,62,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,62.0,62.0,62,0,0,45.148.10.67,172.31.83.119,40001,443,6,0,2,TLS,Web,,45.148.10.67:40001-172.31.83.119:443-6-1778933177050,1778933372725
